,Price,Area,Location,No. of Bedrooms
0,6200000,400,Airoli,1
2,14900000,1245,Airoli,2
3,14000000,1183,Airoli,2
5,6400000,495,Airoli,1
6,3800000,495,Airoli,1
7,15500000,1050,Airoli,2
8,7000000,600,Airoli,1
9,6694000,600,Airoli,1
10,7600000,650,Airoli,1
11,7731000,650,Airoli,1
12,9500000,650,Airoli,1
13,6600000,780,Airoli,1
14,7800000,640,Airoli,1
15,7800000,660,Airoli,1
16,5900000,660,Airoli,1
17,5900000,666,Airoli,1
18,7500000,666,Airoli,1
19,7000000,1050,Airoli,1
20,7000000,700,Airoli,1
21,7000000,680,Airoli,1
23,9000000,650,Airoli,1
24,2400000,675,Airoli,1
26,8700000,600,Airoli,1
27,3874000,730,Ambernath East,1
28,2300000,690,Ambernath East,1
29,5800000,466,Ambernath East,1
30,2565000,595,Ambernath East,1
35,14500000,1010,Ambernath East,2
36,3300000,690,Ambernath East,1
37,13899999,900,Ambernath East,2
38,3800000,625,Ambernath East,1
39,4600000,725,Ambernath East,1
40,8600000,827,Ambernath East,1
41,2400000,690,Ambernath West,1
42,2374000,634,Ambernath West,1
43,2374000,634,Ambernath West,1
44,11000000,728,Ambernath West,1
46,3100000,550,Ambernath West,1
47,2576000,630,Ambernath West,1
48,2520000,644,Ambernath West,1
49,2520000,709,Ambernath West,1
50,2576000,630,Ambernath West,1
51,3064000,644,Ambernath West,1
52,3188000,630,Ambernath West,1
53,19000000,630,Ambernath West,1
54,19000000,644,Ambernath West,1
55,4800000,766,Ambernath West,1
56,8500000,797,Ambernath West,1
57,18000000,1100,Andheri,2
58,14000000,1000,Andheri,2
59,30000000,1480,Andheri,3
60,17500000,650,Andheri,1
61,65300000,3025,Andheri,4
62,21800000,1120,Andheri,2
63,22200000,1450,Andheri,3
64,10500000,900,Andheri,3
70,17500000,922,Andheri East,2
71,16500000,1050,Andheri East,1
72,14800000,1020,Andheri East,1
74,18000000,915,Andheri East,2
76,14700000,650,Andheri East,2
77,15000000,620,Andheri East,1
78,32500000,950,Andheri East,2
81,26500000,1356,Andheri East,2
84,15000000,750,Andheri East,2
85,22000000,1150,Andheri East,2
86,22000000,1000,Andheri East,2
87,35000000,1300,Andheri East,3
88,12500000,550,Andheri East,1
89,8100000,600,Andheri East,1
91,18000000,900,Andheri East,2
92,3700000,300,Andheri East,1
93,3400000,300,Andheri East,1
94,7500000,300,Andheri East,1
95,25200000,859,Andheri East,3
96,18900000,969,Andheri East,3
98,19000000,670,Andheri East,2
99,22000000,890,Andheri East,3
101,3500000,300,Andheri East,1
106,29000000,780,Andheri East,2
107,28000000,900,Andheri East,2
108,25500000,1113,Andheri East,3
109,21400000,742,Andheri East,2
110,33100000,1124,Andheri East,3
111,21800000,878,Andheri East,3
112,25400000,678,Andheri East,2
113,25600000,716,Andheri East,2
114,18500000,902,Andheri East,2
115,21000000,850,Andheri East,2
117,22000000,560,Andheri East,1
119,13500000,550,Andheri East,1
120,18100000,550,Andheri East,1
121,9500000,650,Andheri East,1
125,8000000,2500,Andheri East,6
127,32500000,1113,Andheri East,3
128,21400000,742,Andheri East,2
129,11500000,426,Andheri East,1
130,47900000,1124,Andheri East,3
132,17000000,678,Andheri East,2
133,15100000,716,Andheri East,2
134,17900000,850,Andheri East,2
135,20000000,700,Andheri East,2
136,12000000,802,Andheri East,1
138,17900000,650,Andheri East,1
141,12100000,864,Andheri East,1
143,13000000,650,Andheri East,1
145,3500000,300,Andheri East,1
146,4700000,300,Andheri East,1
147,4600000,300,Andheri East,1
148,4800000,720,Andheri East,1
150,27000000,1200,Andheri East,2
151,28500000,997,Andheri West,2
152,55000000,1950,Andheri West,3
153,21000000,1000,Andheri West,2
154,31200000,1361,Andheri West,2
159,12000000,723,Andheri West,1
161,85000000,2590,Andheri West,3
164,8000000,400,Andheri West,2
166,35500000,1400,Andheri West,2
167,13500000,650,Andheri West,1
171,31000000,1550,Andheri West,3
172,35000000,1600,Andheri West,3
174,43000000,1850,Andheri West,3
175,37000000,1600,Andheri West,3
177,22000000,1166,Andheri West,3
178,22000000,788,Andheri West,3
180,19600000,790,Andheri West,2
181,26500000,1193,Andheri West,3
182,17000000,800,Andheri West,2
185,22200000,923,Andheri West,2
187,14600000,420,Andheri West,1
189,62100000,1648,Andheri West,4
190,54500000,1705,Andheri West,4
191,27000000,1210,Andheri West,3
193,42500000,2500,Andheri West,4
197,58000000,1680,Andheri West,4
198,47800000,2400,Andheri West,4
204,42500000,2525,Andheri West,4
205,36000000,1250,Andheri West,2
207,31700000,1003,Andheri West,2
208,39000000,1166,Andheri West,2
211,51900000,2780,Andheri West,4
212,47600000,2260,Andheri West,3
220,25000000,944,Andheri West,3
221,24800000,713,Andheri West,2
